"Plot","GSL","year","pre.post","BA"
0.2,23,1962,"a",47.3
0.5,27.5,1962,"a",41.8
0.7,13.8,1962,"a",43.6
0.9,34.4,1962,"a",48.4
1.1,27.5,1962,"a",48.7
1.4,18.4,1962,"a",43.6
1.6,6.9,1962,"a",51.9
1.8,34.4,1962,"a",57.6
2.1,23,1962,"a",45.5
2.3,34.4,1962,"a",62.4
2.5,18.4,1962,"a",47.1
2.8,27.5,1962,"a",51.2
3,23,1962,"a",56.7
3.2,18.4,1962,"a",51.2
3.4,13.8,1962,"a",44.5
3.7,6.9,1962,"a",40.4
3.9,13.8,1962,"a",38.1
4.1,6.9,1962,"a",42.2
0.2,23,1962.5,"b",13.6
0.5,27.5,1962.5,"b",16.9
0.7,13.8,1962.5,"b",8.7
0.9,34.4,1962.5,"b",18
1.1,27.5,1962.5,"b",13.7
1.4,18.4,1962.5,"b",11.1
1.6,6.9,1962.5,"b",4.4
1.8,34.4,1962.5,"b",18.3
2.1,23,1962.5,"b",11.9
2.3,34.4,1962.5,"b",15.7
2.5,18.4,1962.5,"b",12.8
2.8,27.5,1962.5,"b",18.2
3,23,1962.5,"b",14.3
3.2,18.4,1962.5,"b",11.8
3.4,13.8,1962.5,"b",9.5
3.7,6.9,1962.5,"b",5.2
3.9,13.8,1962.5,"b",9.2
4.1,6.9,1962.5,"b",4.8
0.2,23,1967,"",18.2
0.5,27.5,1967,"",22
0.7,13.8,1967,"",12.9
0.9,34.4,1967,"",22.4
1.1,27.5,1967,"",18.3
1.4,18.4,1967,"",15.5
1.6,6.9,1967,"",6.7
1.8,34.4,1967,"",23.4
2.1,23,1967,"",16.1
2.3,34.4,1967,"",20.7
2.5,18.4,1967,"",16.9
2.8,27.5,1967,"",22.7
3,23,1967,"",18.8
3.2,18.4,1967,"",16
3.4,13.8,1967,"",13.1
3.7,6.9,1967,"",7.8
3.9,13.8,1967,"",12.6
4.1,6.9,1967,"",7.3
0.2,23,1972,"a",22
0.5,27.5,1972,"a",26.9
0.7,13.8,1972,"a",17.4
0.9,34.4,1972,"a",27.9
1.1,27.5,1972,"a",23.1
1.4,18.4,1972,"a",19.6
1.6,6.9,1972,"a",9.4
1.8,34.4,1972,"a",28.5
2.1,23,1972,"a",20.9
2.3,34.4,1972,"a",25.6
2.5,18.4,1972,"a",20.8
2.8,27.5,1972,"a",27.2
3,23,1972,"a",22.6
3.2,18.4,1972,"a",21.2
3.4,13.8,1972,"a",18.2
3.7,6.9,1972,"a",11.7
3.9,13.8,1972,"a",17.6
4.1,6.9,1972,"a",11.2
0.2,23,1972.5,"b",20.7
0.5,27.5,1972.5,"b",24.3
0.7,13.8,1972.5,"b",12.6
0.9,34.4,1972.5,"b",26.6
1.1,27.5,1972.5,"b",22
1.4,18.4,1972.5,"b",16.1
1.6,6.9,1972.5,"b",6.9
1.8,34.4,1972.5,"b",26.2
2.1,23,1972.5,"b",19.1
2.3,34.4,1972.5,"b",24.6
2.5,18.4,1972.5,"b",17.4
2.8,27.5,1972.5,"b",25
3,23,1972.5,"b",19.7
3.2,18.4,1972.5,"b",17
3.4,13.8,1972.5,"b",13.3
3.7,6.9,1972.5,"b",6.9
3.9,13.8,1972.5,"b",13.5
4.1,6.9,1972.5,"b",7.1
0.2,23,1977,"",24
0.5,27.5,1977,"",27.6
0.7,13.8,1977,"",15.7
0.9,34.4,1977,"",30.4
1.1,27.5,1977,"",25.7
1.4,18.4,1977,"",19.4
1.6,6.9,1977,"",8.9
1.8,34.4,1977,"",30.5
2.1,23,1977,"",23
2.3,34.4,1977,"",28.8
2.5,18.4,1977,"",20.3
2.8,27.5,1977,"",28.5
3,23,1977,"",23.1
3.2,18.4,1977,"",20.5
3.4,13.8,1977,"",16.4
3.7,6.9,1977,"",9
3.9,13.8,1977,"",16
4.1,6.9,1977,"",9.4
0.2,23,1982,"a",27.8
0.5,27.5,1982,"a",31.8
0.7,13.8,1982,"a",19.7
0.9,34.4,1982,"a",35.1
1.1,27.5,1982,"a",29.9
1.4,18.4,1982,"a",23
1.6,6.9,1982,"a",11.6
1.8,34.4,1982,"a",35
2.1,23,1982,"a",27.1
2.3,34.4,1982,"a",33.9
2.5,18.4,1982,"a",23.2
2.8,27.5,1982,"a",32.1
3,23,1982,"a",26.9
3.2,18.4,1982,"a",24.4
3.4,13.8,1982,"a",20.2
3.7,6.9,1982,"a",11.5
3.9,13.8,1982,"a",19.3
4.1,6.9,1982,"a",11.5
0.2,23,1982.5,"b",23
0.5,27.5,1982.5,"b",26.9
0.7,13.8,1982.5,"b",13.8
0.9,34.4,1982.5,"b",30.5
1.1,27.5,1982.5,"b",25.7
1.4,18.4,1982.5,"b",18.1
1.6,6.9,1982.5,"b",6.9
1.8,34.4,1982.5,"b",30.3
2.1,23,1982.5,"b",21.8
2.3,34.4,1982.5,"b",30.1
2.5,18.4,1982.5,"b",18.1
2.8,27.5,1982.5,"b",27.1
3,23,1982.5,"b",22.3
3.2,18.4,1982.5,"b",18.6
3.4,13.8,1982.5,"b",13.8
3.7,6.9,1982.5,"b",6.9
3.9,13.8,1982.5,"b",13.8
4.1,6.9,1982.5,"b",6.9
0.2,23,1987,"",26.2
0.5,27.5,1987,"",30.7
0.7,13.8,1987,"",16.9
0.9,34.4,1987,"",34.5
1.1,27.5,1987,"",29.6
1.4,18.4,1987,"",21.7
1.6,6.9,1987,"",9.1
1.8,34.4,1987,"",35.1
2.1,23,1987,"",26.3
2.3,34.4,1987,"",35
2.5,18.4,1987,"",21.5
2.8,27.5,1987,"",31.6
3,23,1987,"",26.1
3.2,18.4,1987,"",22.5
3.4,13.8,1987,"",17.1
3.7,6.9,1987,"",9.1
3.9,13.8,1987,"",17.3
4.1,6.9,1987,"",9
0.2,23,1992,"a",29.7
0.5,27.5,1992,"a",34.7
0.7,13.8,1992,"a",19.9
0.9,34.4,1992,"a",38.5
1.1,27.5,1992,"a",33.6
1.4,18.4,1992,"a",25.3
1.6,6.9,1992,"a",10.9
1.8,34.4,1992,"a",39.4
2.1,23,1992,"a",30.2
2.3,34.4,1992,"a",39.2
2.5,18.4,1992,"a",24.6
2.8,27.5,1992,"a",35.5
3,23,1992,"a",29.8
3.2,18.4,1992,"a",26.3
3.4,13.8,1992,"a",19.8
3.7,6.9,1992,"a",10.6
3.9,13.8,1992,"a",19.8
4.1,6.9,1992,"a",11
0.2,23,1992.5,"b",23
0.5,27.5,1992.5,"b",27.5
0.7,13.8,1992.5,"b",13.8
0.9,34.4,1992.5,"b",32.5
1.1,27.5,1992.5,"b",26.9
1.4,18.4,1992.5,"b",18.4
1.6,6.9,1992.5,"b",6.9
1.8,34.4,1992.5,"b",32.5
2.1,23,1992.5,"b",23
2.3,34.4,1992.5,"b",32.5
2.5,18.4,1992.5,"b",18.4
2.8,27.5,1992.5,"b",27.5
3,23,1992.5,"b",23
3.2,18.4,1992.5,"b",18.4
3.4,13.8,1992.5,"b",13.8
3.7,6.9,1992.5,"b",6.9
3.9,13.8,1992.5,"b",13.8
4.1,6.9,1992.5,"b",6.9
0.2,23,1998,"",27
0.5,27.5,1998,"",31.7
0.7,13.8,1998,"",16.8
0.9,34.4,1998,"",37.8
1.1,27.5,1998,"",31.6
1.4,18.4,1998,"",21.8
1.6,6.9,1998,"",11.5
1.8,34.4,1998,"",38.2
2.1,23,1998,"",27
2.3,34.4,1998,"",38.2
2.5,18.4,1998,"",21.8
2.8,27.5,1998,"",32.2
3,23,1998,"",27.1
3.2,18.4,1998,"",22.5
3.4,13.8,1998,"",17
3.7,6.9,1998,"",11.1
3.9,13.8,1998,"",16.7
4.1,6.9,1998,"",11.6
0.2,23,2003,"a",29.1
0.5,27.5,2003,"a",33.8
0.7,13.8,2003,"a",18.1
0.9,34.4,2003,"a",40.5
1.1,27.5,2003,"a",33.9
1.4,18.4,2003,"a",23.1
1.6,6.9,2003,"a",12.5
1.8,34.4,2003,"a",41
2.1,23,2003,"a",29.4
2.3,34.4,2003,"a",40.5
2.5,18.4,2003,"a",23.3
2.8,27.5,2003,"a",34
3,23,2003,"a",29
3.2,18.4,2003,"a",23.6
3.4,13.8,2003,"a",18.1
3.7,6.9,2003,"a",11.9
3.9,13.8,2003,"a",18.1
4.1,6.9,2003,"a",12.3
0.2,23,2003.5,"b",23
0.5,27.5,2003.5,"b",27.5
0.7,13.8,2003.5,"b",13.8
0.9,34.4,2003.5,"b",34.4
1.1,27.5,2003.5,"b",27.5
1.4,18.4,2003.5,"b",18.4
1.6,6.9,2003.5,"b",6.9
1.8,34.4,2003.5,"b",34.4
2.1,23,2003.5,"b",23
2.3,34.4,2003.5,"b",34.4
2.5,18.4,2003.5,"b",18.4
2.8,27.5,2003.5,"b",27.5
3,23,2003.5,"b",23
3.2,18.4,2003.5,"b",18.4
3.4,13.8,2003.5,"b",13.8
3.7,6.9,2003.5,"b",6.9
3.9,13.8,2003.5,"b",13.8
4.1,6.9,2003.5,"b",6.9
0.2,23,2015,"a",23.5
0.5,27.5,2015,"a",34.6
0.7,13.8,2015,"a",16.2
0.9,34.4,2015,"a",38.4
1.1,27.5,2015,"a",29.3
1.4,18.4,2015,"a",23.1
1.6,6.9,2015,"a",8.3
1.8,34.4,2015,"a",40.4
2.1,23,2015,"a",30.9
2.3,34.4,2015,"a",38.7
2.5,18.4,2015,"a",25.2
2.8,27.5,2015,"a",30.6
3,23,2015,"a",26.1
3.2,18.4,2015,"a",24.1
3.4,13.8,2015,"a",17.2
3.7,6.9,2015,"a",12.8
3.9,13.8,2015,"a",14.9
4.1,6.9,2015,"a",11.8
0.2,23,2017.5,"b",23
0.5,27.5,2017.5,"b",27.5
0.7,13.8,2017.5,"b",13.8
0.9,34.4,2017.5,"b",34.4
1.1,27.5,2017.5,"b",27.5
1.4,18.4,2017.5,"b",18.4
1.6,6.9,2017.5,"b",6.9
1.8,34.4,2017.5,"b",34.4
2.1,23,2017.5,"b",23
2.3,34.4,2017.5,"b",34.4
2.5,18.4,2017.5,"b",18.4
2.8,27.5,2017.5,"b",27.5
3,23,2017.5,"b",23
3.2,18.4,2017.5,"b",18.4
3.4,13.8,2017.5,"b",13.8
3.7,6.9,2017.5,"b",6.9
3.9,13.8,2017.5,"b",13.8
4.1,6.9,2017.5,"b",6.9
