"SampleID","TestID","SiteID","PlotID","TreeID","Position","Blank.Num","Length","Velocity","Width","Depth","WeightFullPiece","WeightAfterTest","WeightOD","Notes"
"TW-14-189-2",115,"TW","14","14-189","1","2",16,4319,1.003,1,135.675,86.137,76.341,NA
"TW-14-189-1",116,"TW","14","14-189","1","1",16.031,2747,1.01,1.007,144.453,77.817,69.949,NA
"TW-11-73-1",117,"TW","11","11-73","1","1",16.031,2820,0.997,1.001,147.6,68.483,62.353,"B,T"
"TW-14-212-2",118,"TW","14","14-212","1","2",16,4512,1.001,0.996,126.03,126.006,112.423,NA
"TW-14-212-3",119,"TW","14","14-212","1","3",16,4755,1.002,0.994,120.781,120.746,107.968,NA
"TW-14-212-4",120,"TW","14","14-212","1","4",16.031,5030,1.002,0.996,129.178,129.148,115.941,NA
"TW-14-237-1",121,"TW","14","14-237","1","1",16,4078,0.996,0.992,124.609,64.877,58.934,NA
"TW-14-237-2",122,"TW","14","14-237","1","2",16,5215,0.997,0.995,119.157,119.137,106.803,NA
"TW-14-212-1",123,"TW","14","14-212","1","1",16,4340,1.003,0.998,139.427,139.405,126.694,NA
"TW-15-76-1",124,"TW","15","15-76","1","1",16,3569,0.994,0.997,132.347,67.573,61.561,NA
"TW-15-36-3",125,"TW","15","15-36","1","3",15.938,3934,0.999,0.989,114.862,114.855,103.494,NA
"TW-15-36-2",126,"TW","15","15-36","1","2",16,5985,0.997,0.992,126.982,126.981,113.791,NA
"TW-15-36-1",127,"TW","15","15-36","1","1",16,2920,0.993,0.995,122.073,56.929,52.417,NA
"TW-14-237-4",128,"TW","14","14-237","1","4",16,5093,1,0.998,110.521,110.503,100.471,NA
"TW-14-237-3",129,"TW","14","14-237","1","3",16,5005,0.997,0.992,110.598,110.589,99.609,NA
"TW-15-76-2",130,"TW","15","15-76","1","2",16,4727,0.997,0.992,120.006,119.999,108.748,NA
"TW-11-185-3",131,"TW","11","11-185","1","3",16,4633,0.997,0.991,128.981,128.973,116.021,NA
"TW-8-657-1",132,"TW","8","8-657","1","1",16,4109,0.996,0.992,105.195,59.413,53.696,NA
"TW-13-176-1",133,"TW","13","13-176","1","1",16,3904,0.994,0.994,99.074,48.068,42.94,NA
"TW-11-185-2",134,"TW","11","11-185","1","2",16,4951,0.999,0.994,132.238,132.233,120.127,NA
"TW-8-576-2",135,"TW","8","8-576","1","2",15.938,5336,0.989,0.984,122.122,122.118,110.27,NA
"TW-13-133-2",136,"TW","13","13-133","1","2",16,4390,1.005,0.998,117.021,117.006,105.819,NA
"TW-11-60-3",137,"TW","11","11-60","1","3",16.031,5218,0.999,0.988,139.557,139.539,127.171,NA
"TW-13-133-3",138,"TW","13","13-133","1","3",15.989,5338,0.999,0.997,126.835,116.819,105.633,NA
"TW-11-60-4",139,"TW","11","11-60","1","4",16.031,5163,0.993,0.99,136.533,136.532,126.292,NA
"TW-13-133-1",140,"TW","13","13-133","1","1",16,4740,1.002,0.978,184.899,184.898,166.566,"B,T"
"TW-13-94-2",141,"TW","13","13-94","1","2",15.938,5145,0.992,0.98,132.363,132.356,119.497,NA
"TW-13-94-1",142,"TW","13","13-94","1","1",16,6457,1,0.997,147.474,82.711,75.933,"B,T"
"TW-8-576-1",143,"TW","8","8-576","1","1",15.938,4584,0.996,1.001,129.127,129.114,117.352,NA
"TW-8-439-2",144,"TW","8","8-439","1","2",15.938,4727,0.994,0.995,122.648,122.639,110.719,NA
"TW-11-60-2",145,"TW","11","11-60","1","2",16.031,4617,0.991,0.99,147.458,147.451,135.772,NA
"TW-11-60-1",146,"TW","11","11-60","1","1",16.031,3448,0.996,0.988,151.922,151.912,140.416,"B,T"
"TW-12-296-1",147,"TW","12","12-296","1","1",15.989,5391,1.005,1.015,133.209,58.428,53.384,NA
"TW-12-296-2",148,"TW","12","12-296","1","2",15.938,5409,0.983,0.979,135.903,135.896,122.857,NA
"TW-12-21-2",149,"TW","12","12-21","1","2",15.989,3341,0.995,0.995,109.792,109.763,99,NA
"TW-12-21-3",150,"TW","12","12-21","1","3",16,4721,0.998,0.989,111.849,111.845,100.814,NA
"TW-12-21-4",151,"TW","12","12-21","1","4",16,5077,0.997,0.99,120.739,120.732,109.002,NA
"TW-12-238-1",152,"TW","12","12-238","1","1",16,5305,1.005,0.969,123.63,62.91,57.122,NA
"TW-8-657-2",153,"TW","8","8-657","1","2",16,4966,0.998,0.992,107.143,107.13,96.659,NA
"TW-11-73-2",154,"TW","11","11-73","1","2",16.031,4812,0.994,0.991,122.226,122.202,109.905,NA
"TW-11-185-1",155,"TW","11","11-185","1","1",15.938,4304,0.994,0.99,198.242,72.565,65.848,NA
"TW-12-21-1",156,"TW","12","12-21","1","1",15.989,4687,0.995,0.995,142.948,69.112,63.317,NA
"TW-7-22-1",157,"TW","7","7-22","1","1",16.031,3413,0.99,0.986,161.049,83.24,75.639,NA
"TW-9-228-1",158,"TW","9","9-228","1","1",16,3469,0.994,0.996,196.195,96.853,87.469,NA
"TW-9-228-2",159,"TW","9","9-228","1","2",16,5198,0.995,0.991,127.035,127.023,114.331,NA
"TW-13-176-2",162,"TW","13","13-176","1","2",16,4690,0.998,0.997,142.199,142.177,126.661,NA
"TW-15-76-3",163,"TW","15","15-76","1","3",16,4933,1.009,1.006,122.169,122.13,109.022,NA
"TW-12-238-2",164,"TW","12","12-238","1","2",15.938,4078,0.996,0.99,117.959,117.936,106.479,NA
"TW-12-238-3",165,"TW","12","12-238","1","3",15.938,4725,0.996,0.989,126.749,126.721,115.079,NA
"TW-4-472-2",212,"TW","4","4-472","1","2",15.938,4691,0.995,0.993,116.651,116.6,102.737,"B,T"
"TW-5-366-3",213,"TW","5","5-366","1","3",16.031,5040,0.997,0.999,114.428,114.372,101.374,NA
"TW-1-44-2",214,"TW","1","1-44","1","2",16,4562,1.001,1,119.353,119.3,105.592,NA
"TW-3-152-1",216,"TW","3","3-152","1","1",16.062,3689,1.012,1.011,118.402,57.559,51.858,"V"
"TW-3-152-2",217,"TW","3","3-152","1","2",16,4392,1.011,1.013,111.927,111.903,100.051,NA
"TW-3-152-5",218,"TW","3","3-152","1","5",16.062,4919,1.009,1.01,104.143,104.099,92.803,NA
"TW-3-192-1",219,"TW","3","3-192","1","1",16,5162,0.991,1.007,138.802,72.648,65.182,"V"
"TW-5-403-2",220,"TW","5","5-403","1","2",16,4233,0.997,0.997,107.613,107.559,95.194,NA
"TW-5-366-1",221,"TW","5","5-366","1","1",16.031,3471,1,1.008,127.019,65.936,58.605,"B,T,V"
"TW-5-403-3",222,"TW","5","5-403","1","3",16,4915,0.995,0.997,106.607,106.575,94.975,NA
"TW-5-366-2",223,"TW","5","5-366","1","2",16.031,3975,0.997,1.001,120.329,120.26,106.67,"B,T"
"TW-5-403-1",224,"TW","5","5-403","1","1",16.031,4009,1.005,1,111.654,111.585,99.174,"B,T"
"TW-2-316-3",225,"TW","2","2-316","1","3",15.938,4846,0.997,0.997,120.807,120.773,111.809,NA
"TW-7-22-2",226,"TW","7","7-22","1","2",16,4149,1,0.996,124.574,58.398,52.614,NA
"TW-7-22-3",227,"TW","7","7-22","1","3",16,3813,0.998,0.992,115.056,114.982,102.26,"low rpi"
"TW-4-472-1",228,"TW","4","4-472","1","1",16,5075,1.003,0.995,163.643,88.104,79.134,"V"
"TW-4-434-2",229,"TW","4","4-434","1","2",15.938,4882,0.987,0.984,145.457,145.412,129.726,NA
"TW-7-22-5",230,"TW","7","7-22","1","5",16,4581,1.002,1.002,121.62,121.546,107.991,NA
"TW-6-278-4",231,"TW","6","6-278","1","4",16,4864,1.02,1.018,128.493,128.41,114.201,NA
"TW-6-278-1",232,"TW","6","6-278","1","1",16,5600,0.997,0.996,139.05,71.188,63.813,"V"
"TW-6-278-2",233,"TW","6","6-278","1","2",16.031,4113,1.022,1.019,130.501,130.452,116.18,NA
"TW-6-278-3",234,"TW","6","6-278","1","3",16,4671,1.021,1.02,141.099,141.05,125.702,NA
"TW-6-237-2",235,"TW","6","6-237","1","2",16.031,3674,1.001,0.996,114.388,114.318,100.868,"V"
"TW-6-237-3",236,"TW","6","6-237","1","3",16.031,4673,1.018,1.021,123.515,123.446,109.863,NA
"TW-6-260-2",237,"TW","6","6-260","1","2",15.989,3252,0.997,1.001,125.955,125.873,112.406,"V"
"TW-6-260-3",238,"TW","6","6-260","1","3",15.989,4306,0.996,0.994,119.275,119.221,106.527,NA
"TW-7-98-1",239,"TW","7","7-98","1","1",15.938,3547,0.993,0.993,134.764,134.714,120.107,"B,T,V"
"TW-7-98-2",240,"TW","7","7-98","1","2",15.938,3835,1.008,1.001,139.102,139.031,123.407,"V"
"TW-7-98-3",241,"TW","7","7-98","1","3",15.938,4356,1.004,1,130.454,130.21,115.754,NA
"TW-7-98-4",242,"TW","7","7-98","1","4",15.938,4459,0.994,0.999,126.787,126.698,112.623,NA
"TW-7-93-1",243,"TW","7","7-93","1","1",16,6493,1.008,1.003,126.597,126.566,113.306,"V"
"TW-7-93-2",244,"TW","7","7-93","1","2",16,3816,1.004,1.004,122.993,122.912,108.234,NA
"TW-7-93-3",245,"TW","7","7-93","1","3",16,4129,0.999,1.001,125.527,125.469,111.487,NA
"TW-7-93-4",246,"TW","7","7-93","1","4",16,4200,0.997,1.002,123.276,123.22,109.881,NA
"TW-7-93-5",247,"TW","7","7-93","1","5",16,4355,1.002,0.998,119.025,118.975,105.225,NA
"TW-9-317-1",248,"TW","9","9-317","1","1",16,3625,1.003,1,111.054,53.891,47.733,"V"
"TW-9-317-2",249,"TW","9","9-317","1","2",16,4485,1.002,1.003,122.217,122.131,107.703,NA
"TW-9-317-3",250,"TW","9","9-317","1","3",16,4724,1.003,1.002,121.421,121.317,107.077,NA
"TW-10-367-1",251,"TW","10","10-367","1","1",15.938,4250,1.003,1,126.507,126.429,112.633,NA
"TW-10-367-2",252,"TW","10","10-367","1","2",15.938,4937,0.991,0.991,125.609,125.528,111.191,NA
"TW-4-327-1",253,"TW","4","4-327","1","1",16,3443,1.007,0.998,141.459,66.039,60.127,"B,T,V"
"TW-4-327-2",254,"TW","4","4-327","1","2",15.938,4538,0.998,0.991,126.841,126.805,113.145,NA
"TW-4-434-1",255,"TW","4","4-434","1","1",15.938,4705,1.002,0.995,139.795,71.624,64.295,"B,T,V"
"TW-5-235-1",256,"TW","5","5-235","1","1",15.938,4373,0.992,0.999,140.073,140.032,126.437,NA
"TW-5-235-2",257,"TW","5","5-235","1","2",15.938,5126,1.003,1,130.575,130.434,116.022,NA
"TW-6-149-1",258,"TW","6","6-149","1","1",16,3361,1.004,1.007,130.284,67.763,60.328,"V"
"TW-6-149-2",259,"TW","6","6-149","1","2",15.989,4410,1.006,0.998,120.352,120.312,106.591,NA
"TW-6-149-3",260,"TW","6","6-149","1","3",16.031,4726,1.009,1.007,121.117,121.083,108.128,NA
"TW-6-237-1",261,"TW","6","6-237","1","1",16,2731,1.002,1.001,127.002,62.975,56.855,"V"
"TW-7-98-5",262,"TW","7","7-98","1","5",15.938,4585,0.998,0.995,136.772,83.942,74.264,NA
"TW-8-439-1",263,"TW","8","8-439","1","1",15.989,3991,1.003,0.994,120.652,120.59,106.875,NA
"TW-9-228-3",264,"TW","9","9-228","1","3",16,5145,0.999,0.999,132.969,132.903,117.805,NA
"TW-9-103-1",265,"TW","9","9-103","1","1",16,6167,1.013,1.02,181.9,100.376,90.685,"B,T,V"
"TW-9-103-2",266,"TW","9","9-103","1","2",16,4954,1.021,1.02,134.032,133.974,119.629,NA
"TW-9-103-3",267,"TW","9","9-103","1","3",16.031,5233,1.017,1.012,147.555,147.496,132.364,NA
"TW-9-103-4",268,"TW","9","9-103","1","4",16.031,5195,1.022,1.02,148.654,148.591,133.014,NA
"TW-10-391-2",269,"TW","10","10-391","1","2",15.938,5045,0.999,0.991,133.333,133.255,118.069,NA
"TW-10-187-1",270,"TW","10","10-187","1","1",16,4763,0.998,0.995,133.639,133.553,118.683,NA
"TW-10-187-2",272,"TW","10","10-187","1","2",16,5149,0.995,0.993,140.535,140.466,124.699,NA
"TW-10-391-1",273,"TW","10","10-391","1","1",15.938,3272,0.991,0.998,159.987,110.216,98.044,"V"
"TW-13-94-3",276,"TW","13","13-94","1","3",15.938,5266,0.991,0.986,136.757,136.737,122.485,NA
"TW-14-189-3",277,"TW","14","14-189","1","3",16.062,4430,1.009,1.012,137.968,137.936,121.763,NA
"TW-14-189-4",278,"TW","14","14-189","1","4",16.031,4339,1.004,1.004,135.119,135.074,119.552,NA
"TW-15-139-1",279,"TW","15","15-139","1","1",15.989,4180,1.008,1,166.537,91.696,80.947,"B,T,V"
"TW-15-139-2",280,"TW","15","15-139","1","2",16,5407,0.998,0.998,131.226,131.172,117.285,"B,T,V"
"TW-15-139-3",281,"TW","15","15-139","1","3",16,4162,1.001,0.994,131.548,131.489,117.148,NA
"TW-15-139-4",282,"TW","15","15-139","1","4",16,4531,1,0.996,123.747,123.707,110.898,NA
"TW-15-139-5",283,"TW","15","15-139","1","5",16,4582,1.003,0.998,123.007,122.965,109.721,NA
"TW-15-36-4",284,"TW","15","15-36","1","4",16,4512,1.005,1,112.62,112.588,100.676,NA
"TW-15-76-4",285,"TW","15","15-76","1","4",16,4907,1.003,1.002,126.317,126.294,112.82,NA
"TW-18-111-2",303,"TW","18","18-111","1","2",16,3307,1.002,0.996,148.874,148.824,134.503,"V"
"TW-18-67-3",304,"TW","18","18-67","1","3",16,4340,0.997,1,122.308,74.179,66.099,NA
"TW-18-111-4",305,"TW","18","18-111","1","4",15.969,3924,1.004,1.003,128.509,128.448,114.059,NA
"TW-18-111-5",306,"TW","18","18-111","1","5",16,4269,1.002,1.003,121.24,121.167,107.628,NA
"TW-18-67-4",307,"TW","18","18-67","1","4",15.938,4483,1.002,1,122.438,122.39,109.752,NA
"TW-18-67-5",308,"TW","18","18-67","1","5",16,4833,0.996,0.997,112.842,112.775,100.452,NA
"TW-17-19-1",309,"TW","17","17-19","1","1",15.969,4077,1.001,0.998,137.764,137.641,121.558,NA
"TW-17-19-2",310,"TW","17","17-19","1","2",15.969,4042,1.001,1.003,128.716,128.635,113.825,NA
"TW-17-19-3",311,"TW","17","17-19","1","3",15.969,4253,1.002,1.002,125.071,60.737,53.795,NA
"TW-17-19-4",312,"TW","17","17-19","1","4",16,4497,0.998,1.004,138.716,138.619,122.107,NA
"TW-17-117-1",313,"TW","17","17-117","1","1",16,6567,1.008,1,124.652,124.614,111.674,"V"
"TW-17-117-2",314,"TW","17","17-117","1","2",16,3870,1.002,1,123.894,122.807,109.061,"V"
"TW-17-117-3",315,"TW","17","17-117","1","3",16,4061,0.998,1.002,126.357,126.313,111.278,NA
"TW-17-117-4",316,"TW","17","17-117","1","4",16,4499,1.003,0.998,123.395,123.366,109.276,NA
"TW-18-117-1",317,"TW","18","18-117","1","1",16,5248,1.001,0.996,186.891,87.573,79.759,"V"
"TW-18-117-2",318,"TW","18","18-117","1","2",15.969,3991,0.999,0.992,140.097,140.068,123.892,NA
"TW-18-117-3",319,"TW","18","18-117","1","3",16,3953,0.994,0.992,135.473,84.498,74.641,NA
"TW-18-117-4",320,"TW","18","18-117","1","4",16,3749,1.003,0.991,142.545,90.071,80.011,NA
"TW-18-117-6",321,"TW","18","18-117","1","6",16,4078,0.996,0.991,137.997,137.98,122.168,NA
"TW-17-163-1",322,"TW","17","17-163","1","1",16,3621,1,1,123.123,64.481,57.825,NA
"TW-17-163-2",323,"TW","17","17-163","1","2",15.969,4669,0.993,0.993,123.41,123.39,109.784,NA
"TW-17-163-3",324,"TW","17","17-163","1","3",16,4744,0.999,0.996,116.645,116.616,104.158,NA
"TW-17-163-4",325,"TW","17","17-163","1","4",16,4762,0.995,0.993,116.056,116.03,103.379,NA
"TW-1-44-1",326,"TW","1","1-44","1","1",16.062,3223,1.001,1.001,133.273,59.138,52.8,"B,T,V"
"TW-1-44-3",327,"TW","1","1-44","1","3",16,4704,1.002,0.997,115.1,115.048,101.852,NA
"TW-1-146-1",328,"TW","1","1-146","1","1",16,3219,0.991,0.999,123.19,72.373,64.124,NA
"TW-1-146-2",329,"TW","1","1-146","1","2",16,4161,0.995,0.99,106.496,106.443,94.515,NA
"TW-1-146-3",330,"TW","1","1-146","1","3",16.031,4812,0.991,0.989,106.956,106.898,94.885,NA
"TW-1-146-4",331,"TW","1","1-146","1","4",16.062,4638,0.997,0.983,109.882,109.835,98.19,NA
"TW-1-188-1",332,"TW","1","1-188","1","1",16,5060,0.99,0.999,149.299,68.242,61.559,"V"
"TW-1-188-2",333,"TW","1","1-188","1","2",16,6567,1.003,0.999,120.222,120.201,107.232,"V"
"TW-1-188-3",334,"TW","1","1-188","1","3",16,4307,1.008,1.003,106.352,106.321,95.061,NA
"TW-1-188-4",335,"TW","1","1-188","1","4",16,4552,1.007,1.002,109.577,109.545,98.27,NA
"TW-2-119-1",336,"TW","2","2-119","1","1",15.969,2835,0.994,0.88,118.516,49.287,44.19,"middle very thin, B,V,T, sides .967"
"TW-2-119-2",337,"TW","2","2-119","1","2",16,4253,1.018,1.02,118.595,118.521,105.521,NA
"TW-2-119-3",338,"TW","2","2-119","1","3",16,4463,1.024,1.018,126.264,126.218,112.798,NA
"TW-2-119-4",339,"TW","2","2-119","1","4",16.031,4632,1.022,1.018,125.548,125.492,111.781,NA
"TW-2-316-1",340,"TW","2","2-316","1","1",15.938,5356,0.996,0.999,126.017,125.845,111.42,"B,V,T"
"TW-2-316-2",341,"TW","2","2-316","1","2",15.938,3813,0.995,0.993,130.448,130.397,116.646,NA
"TW-2-211-2",342,"TW","2","2-211","1","2",16,4670,1.026,1.021,108.76,108.696,96.663,NA
"TW-2-211-3",343,"TW","2","2-211","1","3",16,5127,1.021,1.028,112.1,112.084,100.066,NA
"TW-18-67-1",344,"TW","18","18-67","1","1",16,3959,1.004,0.999,128.091,63.961,57.316,NA
"TW-18-67-2",345,"TW","18","18-67","1","2",15.969,4782,1,1,127.405,127.364,114.112,NA
"TW-18-67-6",346,"TW","18","18-67","1","6",16,4622,1.002,1.001,121.164,121.098,108.14,NA
"TW-18-111-1",347,"TW","18","18-111","1","1",15.938,4482,0.999,0.993,185.465,87.926,79.129,"V, double bow"
"TW-18-111-3",348,"TW","18","18-111","1","3",16,4110,1.001,0.999,126.665,126.585,112.321,NA
"TW-18-111-6",349,"TW","18","18-111","1","6",16,3903,1.004,1.002,124.18,124.112,110.348,NA
"TW-3-152-3",350,"TW","3","3-152","1","3",16.031,4709,1.012,1.012,110.168,110.113,98.483,NA
"TW-3-152-4",351,"TW","3","3-152","1","4",16,4763,1.008,1.011,109.154,109.097,97.465,NA
"TW-3-192-3",352,"TW","3","3-192","1","3",15.938,4353,0.993,0.987,118.055,117.985,105.013,NA
"TW-2-211-1",353,"TW","2","2-211","1","1",15.938,3497,0.992,0.992,110.409,42.663,38.502,"B,T,V"
"TW-3-192-2",354,"TW","3","3-192","1","2",16,3009,1.002,0.999,121.573,121.514,107.917,"V"
"TW-3-192-4",355,"TW","3","3-192","1","4",15.938,4792,0.994,0.982,114.289,114.244,102.252,NA
"TW-3-216-1",356,"TW","3","3-216","1","1",15.906,4600,0.99,0.998,172.526,97.611,86.911,"B,T,V"
"TW-3-216-2",357,"TW","3","3-216","1","2",15.938,5933,0.995,0.993,149.76,60.022,54.22,"B,T,V"
"TW-3-216-3",358,"TW","3","3-216","1","3",15.938,3847,0.992,0.984,114.677,114.605,102.339,NA
"TW-3-216-4",359,"TW","3","3-216","1","4",15.938,3850,0.996,0.988,107.568,107.517,95.594,NA
"TW-16-55-1",360,"TW","16","16-55","1","1",16,3868,1.003,1.008,134.72,95.951,86.294,"V"
"TW-16-55-2",361,"TW","16","16-55","1","2",15.938,3868,1,0.997,138.144,138.086,123.257,"V"
"TW-16-55-3",362,"TW","16","16-55","1","3",16,4197,0.998,0.996,118.222,118.07,105.405,NA
"TW-16-55-4",363,"TW","16","16-55","1","4",15.969,4241,1.004,0.997,110.197,110.168,98.525,NA
"TW-16-55-5",364,"TW","16","16-55","1","5",16,4372,1,0.998,113.394,113.356,101.291,NA
"TW-16-55-6",365,"TW","16","16-55","1","6",16,4217,1,0.997,140.9,140.855,125.819,NA
"TW-16-55-7",366,"TW","16","16-55","1","7",16,4549,1.002,0.999,122.428,122.361,108.368,NA
"TW-16-44-1",367,"TW","16","16-44","1","1",16.031,4362,1.001,1.002,174.257,85.83,77.456,"some rot and pith, bowed two directions, V"
"TW-16-44-2",368,"TW","16","16-44","1","2",16,6318,1.003,1,155.004,154.899,138.579,"V"
"TW-16-44-3",369,"TW","16","16-44","1","3",16.031,4410,1.015,1.011,135.742,135.674,120.38,NA
"TW-16-44-4",370,"TW","16","16-44","1","4",16.031,4130,1,1.004,135.048,134.963,118.768,NA
"TW-16-44-5",371,"TW","16","16-44","1","5",16,4808,1.005,1.005,129.069,129.012,114.984,NA
"TW-16-44-6",372,"TW","16","16-44","1","6",16.031,4829,0.993,0.994,130.681,130.609,115.855,NA
"TW-7-22-4",373,"TW","7","7-22","1","4",15.969,4201,0.986,0.998,134.149,69.383,63.44,"T, tangential because of sap"
"TW-17-117-5",378,"TW","17","17-117","1","5",16,3791,1.002,1.002,150.417,NA,NA,NA
"TW-16-44-7",380,"TW","16","16-44","1","7",16.062,4849,0.999,0.996,139.077,138.996,123.564,NA
"TW-16-34-1",381,"TW","16","16-34","1","1",16,2975,1.015,0.999,146.846,76.882,69.565,"B,T,V"
"TW-16-34-2",382,"TW","16","16-34","1","2",16,4624,1.003,0.996,131.531,131.463,116.722,NA
"TW-16-34-3",383,"TW","16","16-34","1","3",16,4697,1,0.997,141.458,141.439,126.1,NA
"TW-16-34-4",384,"TW","16","16-34","1","4",16.031,4429,1.012,1.013,149.08,149.054,132.997,NA
"TW-16-34-5",385,"TW","16","16-34","1","5",16.031,4545,1.014,1.015,142.246,142.219,126.93,NA
"TW-17-117-1b",401,"TW","17","17-117","1","1b",16.031,5391,1,1.001,136.258,136.239,122.522,"Duplicate, V"
