"Date";"UnitID";"TreeID";"X0.5";"X4.5";"X8";"X12";"X16";"X20";"X24";"X28";"X32";"X36";"X40";"X44";"X48";"X52";"X56";"X60";"X64";"X68";"CBH";"HM200_full";"HM200_16";"Notes"
2017-07-18;1;44;NA;12,5;12,5;11,9;11,8;11,2;10,6;9,5;9;8,2;6,6;4,9;NA;NA;NA;NA;NA;NA;NA;8038;8563;NA
2017-07-18;1;146;18,2;15,2;15,1;14,2;13,6;12,2;10,8;10,1;8,6;4,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;11253;8563;NA
2017-07-18;1;188;16,5;13,5;13,2;12,6;12,3;11,8;11;10,5;10,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15026;8136;NA
2017-07-18;2;119;15,4;12,5;12,3;11,8;11,5;10,7;10;9,6;8,9;8;7,6;6,4;5,3;4,3;NA;NA;NA;NA;NA;7677;8694;NA
2017-07-13;2;211;NA;12,7;12,5;12;11,6;11,2;10,6;9,8;9,1;8;7,1;6;4,4;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-05-24;2;316;16,7;14,3;12,8;12,6;12,1;11,7;10,8;10,4;9,8;8,2;6,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-07-13;3;152;NA;18,6;17,9;17,1;17,1;16,8;15,7;15,2;14,2;12;11,1;8,4;7,5;5,3;NA;NA;NA;NA;NA;7776;8891;NA
2017-05-24;3;192;17,9;15,3;14,6;14,2;13,8;13;12,2;11,4;10,6;9;8,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-05-24;3;216;NA;16,8;16,2;15,4;14,8;14,8;14;13,3;12,4;12,1;11,3;8,7;9,4;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-05-24;4;327;12;9;8,6;8,1;7,8;7;6,2;5,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-05-24;4;434;10,5;9,3;8,2;8,3;8,4;7,5;7;6,2;6;5,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-05-24;4;472;11,2;9,5;10,2;8,7;8,1;7,6;6,5;5,8;3,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-05-24;5;235;11,1;8,8;8,4;8;7,4;6,9;6,4;5,9;6;5,5;4,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-07-18;5;366;13,9;10,5;10,4;9,6;9,3;8,9;8,4;8;7,2;6;5,2;4;NA;NA;NA;NA;NA;NA;NA;7874;8530;NA
2017-07-18;5;403;14,5;11;11,2;10,8;10,4;8,4;7,3;4,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13615;15026;NA
2017-04-01;6;149;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"No taper measurements- practice trees"
2017-05-24;6;237;12,4;10,5;10,2;9,8;9,6;8,6;7,8;7,2;5,9;4,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-04-01;6;260;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"No taper measurements- practice trees"
2017-06-18;6;278;16,7;13;12,6;11,9;11,8;11,1;11,1;9,5;7,9;5,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;8432;8497;NA
2017-05-25;7;93;NA;21,3;20,2;18,6;18,3;17,9;17,2;15,6;15,3;13,3;11,2;8,9;7,6;6,5;4,8;NA;NA;NA;NA;NA;NA;NA
2017-06-08;7;98;NA;20,6;20;20;19,1;18,2;17,4;16,1;14;12,9;10;8,7;6,7;5,3;NA;NA;NA;NA;NA;NA;NA;NA
2017-06-08;7;122;27,3;21,2;20,3;19,4;19,1;18,3;18,1;17,3;16;15;13,5;11,7;9,3;8;6,4;4,1;NA;NA;NA;NA;NA;NA
2017-06-02;8;439;12,9;9;8,6;6,3;8;7,6;7,1;6,5;5,5;4,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-06-02;8;576;12,1;10,3;9;8,6;7,9;7,4;6,9;6,5;6;5;4,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-06-02;8;657;14;10,7;10,7;10,4;9,9;9,4;9;8,3;8,1;7,1;5,7;4,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Bolt taken with large end at 8'"
2017-06-02;9;103;15,7;11,6;NA;11,3;10,7;10,2;9,8;9,6;8,8;8,3;5,5;5;4,3;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-06-02;9;228;14,9;11,1;10,8;10,4;10,2;9,8;9,6;9,2;8,3;7,9;7,9;6,6;5,5;5;4,2;NA;NA;NA;NA;NA;NA;NA
2017-06-02;9;317;14,3;11,9;11,7;11,1;10,9;10,8;10,1;9,4;8,9;7,9;6,8;6,2;5,3;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-06-02;10;187;NA;8,2;7,8;7,2;6,9;6,6;6,4;6,1;5,6;5,4;4,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-06-02;10;367;12,4;10,1;9,4;9;8,1;7,9;7,6;7,2;6,4;5,6;4,7;4,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-06-02;10;391;10,5;8,6;8;7,6;7,4;7,1;6,7;6,7;6,3;5,8;5,3;4,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-07-18;11;60;20,4;16,3;15,7;15,3;14,9;14,3;14;13,7;13,4;12,3;11,2;9,7;8,4;6,9;5,3;NA;NA;NA;NA;8957;9908;NA
2017-07-18;11;73;14,2;11,3;10,8;10,6;10,1;9,4;8,9;8,2;7,2;6,1;4,9;NA;NA;NA;NA;NA;NA;NA;NA;8268;9088;NA
2017-06-08;11;185;16,3;13,1;12,8;12,3;11,7;11,4;11;10,4;9,9;9;8,2;7,1;6,1;4,9;NA;NA;NA;NA;NA;NA;NA;NA
2017-06-08;12;21;17,5;15,1;14,4;13,2;13;12,7;11,9;11,4;11;10,5;10;9,5;8,3;7,4;5,8;NA;NA;NA;NA;NA;NA;NA
2017-06-08;12;238;NA;12;11,6;11,1;10,6;10,1;10,1;9,2;8,3;8,2;7;6,5;6,2;4,3;NA;NA;NA;NA;NA;NA;NA;NA
2017-06-08;12;296;14,9;11;10,9;10,4;9,8;9,5;9,2;9,1;8,6;8;7,5;7;6;4,9;NA;NA;NA;NA;NA;NA;NA;NA
2017-06-08;13;94;13,4;11,6;11;10,7;10,3;10;9,9;9,2;8,7;8,5;7,7;7,2;6;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-06-08;13;133;14,9;12,1;11,5;11;10,6;10,5;9,5;8,8;8,4;7,7;6,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-06-08;13;176;12,2;10,2;9,3;9;7,8;7,8;7;6,5;6,4;5,7;5,3;4,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017-08-03;14;189;19,8;14,3;13,7;13,2;12,6;12,5;12;11,6;10,9;10,5;9,6;8,6;7,4;6,3;4,5;NA;NA;NA;NA;8038;9482;NA
2017-08-03;14;212;NA;14,5;14,1;13,5;12,8;12,5;12,5;12,1;11,2;10,6;9,6;8,4;6,8;6,1;4,6;NA;NA;NA;NA;8727;9941;NA
2017-08-03;14;237;21,3;16,2;15,2;14,4;14;13,4;13;12,6;12,2;11;10,2;9,1;7,7;6,2;5,4;NA;NA;NA;NA;8694;9416;NA
2017-07-20;15;36;NA;16,7;16,2;16;15,5;15,1;14,3;14,1;12,3;9,6;8,9;7,7;4,5;NA;NA;NA;NA;NA;NA;7382;8005;"Last two meas are above a fork soe smaller than they should be"
2017-08-03;15;76;20,9;16,4;15,8;15,1;15;14,7;14,3;13,8;12,6;11,6;10,5;9,8;8,1;6;NA;NA;NA;NA;NA;8694;9285;NA
2017-07-20;15;139;NA;17,4;17;15,8;15,7;14,9;14,1;13,3;12,4;10,4;8,2;6,7;5,5;4,3;NA;NA;NA;NA;NA;7841;8465;NA
2017-08-03;16;34;26,9;20,5;19,1;17,6;17,3;17,2;16,4;15,2;14,8;13,1;11,1;8,9;7,7;6,9;5,2;NA;NA;NA;NA;8038;9350;NA
2017-08-03;16;44;27,7;23,6;22,7;21,8;21,1;20,2;19,7;19;17,8;17,4;15,1;14,8;14,8;10,6;9,4;8,4;5;NA;NA;8163;9514;NA
2017-08-21;16;55;28,1;21,8;21,8;20,3;19,6;19,7;18,6;18,3;16,6;16;14,2;12,8;11;9,3;7,5;5,3;NA;NA;NA;7448;8333;NA
2017-08-21;17;19;21,4;16,9;16,1;15,7;15,1;14,7;14,5;13,5;12,7;12,1;10,2;8,4;6,7;5,8;4;NA;NA;NA;NA;8005;8957;NA
2017-08-21;17;117;21,9;17,1;15,9;15,3;15;14,8;14;13,5;12,4;11,2;9,7;8,1;6,8;5,5;NA;NA;NA;NA;NA;7874;8825;"No plot number recorded, and 117 is a double."
2017-08-21;17;163;21,4;16,2;15,6;15;14,8;13,8;12,8;12,3;12,9;9,7;9;7,5;6,6;4,5;NA;NA;NA;NA;NA;8333;9547;"branch swells at 32"
2017-08-22;18;67;28,1;NA;NA;21,8;21,1;19,7;19,3;17,5;15,8;14,3;12,8;10,4;8,3;7,2;5,2;NA;NA;NA;NA;7776;8661;"4.5 and 8 cookies need to be measured for diam"
2017-08-22;18;111;23,7;18,6;18,4;17,6;16,7;16,5;15,3;14,1;13,1;12,6;9,5;8;6,8;5,8;5;NA;NA;NA;NA;7480;7907;NA
2017-08-22;18;117;26,8;22;20,7;19,9;19,3;18,3;17,3;17,9;15,7;14;12,7;10,1;8,6;6,9;5,4;NA;NA;NA;NA;7743;15289;"supported weird"
